speed_kmh,q1,q99,vehicle_type,q1_smooth,q99_smooth
0,-0.0027492046065743904,1.2272551666666667,MPV,-0.17848921117359934,1.1763566004640202
1,-0.3612422422422422,1.2272551666666667,MPV,-0.43209519992294154,1.226759836371235
2,-0.6361135447536037,1.2365347291666675,MPV,-0.6627923407896679,1.2730811828054818
3,-0.9061779353146853,1.2891666737967922,MPV,-0.8705806337737783,1.3153206397667598
4,-1.1745690580892942,1.3587778192090407,MPV,-1.0554600788752726,1.3534782072550695
5,-1.4195294362089914,1.3398264396039594,MPV,-1.2174306760941511,1.3875538852704106
6,-1.6658256986980782,1.382700036809815,MPV,-1.3564924254304136,1.4175476738127835
7,-1.6999280733944955,1.4765734010152278,MPV,-1.4726453268840602,1.4434595728821877
8,-1.441597719745223,1.5034338319783183,MPV,-1.565889380455083,1.4652895824786165
9,-1.459857868945869,1.5064756316964287,MPV,-1.5930114695954884,1.487609165294105
10,-1.4959164957746478,1.5149400794701988,MPV,-1.6053454138637338,1.5032042897825006
11,-1.5306832747252748,1.5139578718662947,MPV,-1.60390977123136,1.5109309098378279
12,-1.5650835,1.5102465982905986,MPV,-1.5975339787710245,1.5146504621252364
13,-1.6081455530546624,1.504295037681159,MPV,-1.595428860977399,1.5181309950420039
14,-1.6289014557377048,1.4932697921348312,MPV,-1.6068910811908435,1.5132685096488936
15,-1.6644855131578946,1.4960113522727259,MPV,-1.6423843406100365,1.5048833669255006
16,-1.6859079252336449,1.4964978213256483,MPV,-1.6908150380179254,1.500002513542785
17,-1.7208408695652173,1.4998633600000013,MPV,-1.7172292988176414,1.494853709378312
18,-1.7384944483985765,1.491928298429318,MPV,-1.738914107033958,1.488100938358711
19,-1.76249888,1.4867507586206887,MPV,-1.7580969944893952,1.4803461311285404
20,-1.7766721678321677,1.4801183999999985,MPV,-1.7744318558280527,1.4712682904014733
21,-1.793339340425532,1.4653060179104456,MPV,-1.7869922253429595,1.4608664536330211
22,-1.7964474606741572,1.4491002208588937,MPV,-1.798192597116202,1.4492002370235273
23,-1.805951606741573,1.4317588503184715,MPV,-1.8045672292863308,1.435524358571264
24,-1.7958472093023254,1.4146183177570102,MPV,-1.8081043048640761,1.420959375389004
25,-1.8044944861111112,1.4022544709480125,MPV,-1.8076444371900098,1.4064073552522494
26,-1.8110625928853754,1.3887109030470923,MPV,-1.805387239878948,1.3930475211256523
27,-1.8022269032258065,1.3784357363896829,MPV,-1.7980597871773343,1.3794096368375848
28,-1.7892422101167316,1.3675384594594606,MPV,-1.7889543510464982,1.3668260645232686
29,-1.7828526109215017,1.3560456578947382,MPV,-1.7760449694653029,1.3548592713685157
30,-1.756934930232558,1.3419597926829272,MPV,-1.7607690333951713,1.3433646326422142
31,-1.7436685106382979,1.3293958469945362,MPV,-1.7418371380902702,1.330874353999648
32,-1.7217865610561056,1.3210190588235278,MPV,-1.7206328688959176,1.3182039807537365
33,-1.697746187919463,1.306791049586776,MPV,-1.6944232593778703,1.3038705539302602
34,-1.6610745369127518,1.2865784207492799,MPV,-1.6683966023628551,1.2883661131538375
35,-1.6477606850152906,1.2752054499999999,MPV,-1.6400037730704862,1.2709404525556263
36,-1.607454997229917,1.2533392413793105,MPV,-1.61212504917531,1.2521430865849599
37,-1.5820906751592356,1.2359072849162,MPV,-1.5822348865787004,1.2320740280219449
38,-1.5486028170731707,1.2096754127423828,MPV,-1.554196093821031,1.211370587004927
39,-1.5201032988505747,1.1946176687898102,MPV,-1.5230401229821737,1.18947137661499
40,-1.487660231707317,1.1638890666666668,MPV,-1.4931696307423539,1.1669479480191738
41,-1.4735145263157894,1.142930827586208,MPV,-1.4619958494655922,1.1448443556726287
42,-1.424566852173913,1.1180812133757951,MPV,-1.4323397672780094,1.1230335538399765
43,-1.4146242902208201,1.0995746835443039,MPV,-1.4005405536799078,1.1014547080374784
44,-1.3675311051212937,1.0801218136020165,MPV,-1.3718101422196858,1.081164737328949
45,-1.3478993170731708,1.0623502248520704,MPV,-1.3407109068724175,1.0607297180506396
46,-1.2964166726726727,1.0395559999999988,MPV,-1.3127160739165988,1.0418714829387348
47,-1.2854967719298247,1.0230899381443286,MPV,-1.2824785614811067,1.0227174476902008
48,-1.2448305495750709,1.0062228698060927,MPV,-1.2534819979827398,1.0045526038539194
49,-1.2322406517857143,0.9878272830188672,MPV,-1.2230881773637088,0.9859824453065893
50,-1.1910731898734177,0.9708575319148917,MPV,-1.1948925433154534,0.9678674315513729
51,-1.1788234657039711,0.9507325,MPV,-1.1659231251435573,0.9495789941874669
52,-1.135001388888889,0.9296776470588235,MPV,-1.1401514227936826,0.9320283682901911
53,-1.1285541333333333,0.9183464563758408,MPV,-1.1135721222993786,0.9149590472677713
54,-1.0727221873111783,0.8935857128378376,MPV,-1.0900744140385812,0.8986435983788201
55,-1.0672146933797908,0.8801495015384613,MPV,-1.0656200529775353,0.8828840706816895
56,-1.0314310184615385,0.8664399095477373,MPV,-1.0445221416361614,0.8679903693127666
57,-1.0235909614035088,0.8537895401662056,MPV,-1.0229155119933124,0.8535843449708684
58,-1.0051459930795847,0.8400011666666677,MPV,-1.0043316394632995,0.8402354687272338
59,-0.9876613740458015,0.8295614715719072,MPV,-0.9845092750719229,0.8272594075789269
60,-0.9675035051546391,0.815494609929079,MPV,-0.9677905417428513,0.8149188975779743
61,-0.9599421589958159,0.8043469481481473,MPV,-0.950067069428056,0.8026910707868375
62,-0.9368272631578948,0.7935416745762709,MPV,-0.9362037751045339,0.7917072904654245
63,-0.9227348000000001,0.7791596592592579,MPV,-0.9192856436385598,0.7801154991551766
64,-0.8982061016949152,0.7661665693430663,MPV,-0.9055345323270503,0.7689964599000957
65,-0.8874890322580645,0.758885152542372,MPV,-0.890328067555979,0.757951223540544
66,-0.8656958127659575,0.7440860371747209,MPV,-0.8769380795630174,0.7478067139451696
67,-0.8648079583333333,0.738734248995984,MPV,-0.8666426740088562,0.7392237597824904
68,-0.846489552238806,0.7276689361702128,MPV,-0.8499545652174005,0.7282934014257759
69,-0.8411360860215054,0.7189581191489366,MPV,-0.8283376955983466,0.7153798917234307
70,-0.8167645911602209,0.7064135640000008,MPV,-0.8062045365237575,0.7022245792898669
71,-0.8141355714285714,0.6989104210526315,MPV,-0.7859549414422616,0.6906432426026714
72,-0.7841735081967213,0.6876982435897443,MPV,-0.7689539117441287,0.6805796097147068
73,-0.7687653353658537,0.680502828947368,MPV,-0.7554256223205442,0.6722903478298511
74,-0.7371726990291262,0.6632904189723312,MPV,-0.745473622504204,0.6663304116239357
75,-0.6620879665271967,0.6278227317073178,MPV,-0.7390642978180378,0.6618912685355492
76,-0.6916221714285714,0.6388715956678694,MPV,-0.7380507525145529,0.6600073779124265
77,-0.731750875,0.6564085369458132,MPV,-0.7418079963790418,0.6602389074373834
78,-0.7654247719298246,0.6704044064171116,MPV,-0.7442151763736683,0.6602159316074661
79,-0.7737063157894737,0.6721535576923083,MPV,-0.746882220400549,0.6602101792068269
80,-0.7808465217391304,0.6725256521739135,MPV,-0.7513241082759078,0.6609243018546811
81,-0.77353924,0.6702775094339616,MPV,-0.7548066925422131,0.6610744952990276
82,-0.7757327927927928,0.6666231944444453,MPV,-0.7577077883794182,0.6617170514802183
83,-0.7621442727272727,0.6617355436241601,MPV,-0.7576483930272235,0.6606823170689824
84,-0.7391016910569106,0.649938084507042,MPV,-0.7460080307331785,0.6540371274833842
85,-0.6867308235294117,0.6291409599999991,MPV,-0.7338134237471737,0.6472230298975212
86,-0.7099553394495413,0.6326462781456944,MPV,-0.7192314575756887,0.6380145701258502
87,-0.7009645,0.6290411084337343,MPV,-0.7058907112726931,0.6301737750570262
88,-0.6920363307086614,0.6180462615384604,MPV,-0.6809793207816776,0.6131206933267642
89,-0.6779748396946564,0.612812745762713,MPV,-0.6559055582065975,0.5953361846340299
90,-0.6589138461538462,0.5924196538461544,MPV,-0.6278175237021676,0.5752594723010513
91,-0.6297164444444445,0.573327225806452,MPV,-0.6053871988991674,0.5579601241073353
92,-0.6154331320754717,0.5608755483870954,MPV,-0.5883517892007547,0.5438385596942968
93,-0.5529565454545454,0.5164845555555555,MPV,-0.5786056402058212,0.5352035817107712
94,-0.5243846109090909,0.5027281593625491,MPV,-0.5716351425498494,0.528277726275
95,-0.45742619611650487,0.4423972206896549,MPV,-0.5674402962328422,0.5230609933869863
96,-0.543966972826087,0.5068409103139012,MPV,-0.5660211012548,0.5195533830467297
97,-0.5516132450331126,0.5076778260869566,MPV,-0.5673775576157223,0.5177548952542306
98,-0.6107831267605633,0.5444581075268833,MPV,-0.5715096653156094,0.5176655300094887
99,-0.61124625,0.5406564948453602,MPV,-0.5784174243544613,0.5192852873125041
100,-0.6050093953488372,0.5344253737373748,MPV,-0.5881008347322779,0.5226141671632769
0,-0.0027508769708174605,1.214056910811586,sedan,-0.16023279595686454,1.155047396595995
1,-0.367366029862604,1.214056910811586,sedan,-0.4264727877234249,1.2207741947833048
2,-0.643053676056338,1.2665435176119413,sedan,-0.6685775980333614,1.281030809118148
3,-0.9031385269461079,1.2546494682422444,sedan,-0.8865472268866738,1.3358172396005246
4,-1.1709246220030816,1.363999070270271,sedan,-1.080381674283362,1.3851334862304345
5,-1.417530404360929,1.4224855276581643,sedan,-1.2500809402234268,1.4289795490078778
6,-1.6682707707786189,1.465573493423271,sedan,-1.395645024706867,1.4673554279328547
7,-1.735215841221374,1.54436957538849,sedan,-1.5170739277336835,1.5002611230053646
8,-1.6295898597701148,1.570307861900893,sedan,-1.614367649303869,1.5276966342254008
