path_id,__block__,EdgeLane_id,EdgeLane_length,EdgeLane_seq,cum_length,cum_length_prev,flow_id,from_edge,to_edge
0,1,changjidong_we_1,399.51,0,399.51,0.0,,changjidong_we_1,jiashi_sn_10
0,2,:changji_j1_0_2,0.29,1,399.8,399.51,,changjidong_we_1,jiashi_sn_10
0,3,changjidong_we_2,38.86,2,438.65999999999997,399.8,,changjidong_we_1,jiashi_sn_10
0,4,:jiashibei-changjidong_10_0,27.06,3,465.71999999999997,438.65999999999997,,changjidong_we_1,jiashi_sn_10
0,5,jiashi_sn_9,37.09,4,502.81,465.71999999999997,,changjidong_we_1,jiashi_sn_10
0,6,:jiashi_j1_0_0,0.34,5,503.15,502.81,,changjidong_we_1,jiashi_sn_10
0,7,jiashi_sn_10,781.64,6,1284.79,503.15,,changjidong_we_1,jiashi_sn_10
1,1,jiashi_sn_1,463.2,0,463.2,0.0,,jiashi_sn_1,jiashi_sn_10
1,2,:jiashi_j7_0_0,0.34,1,463.53999999999996,463.2,,jiashi_sn_1,jiashi_sn_10
1,3,jiashi_sn_2,31.72,2,495.26,463.53999999999996,,jiashi_sn_1,jiashi_sn_10
1,4,:jiashibei-chungui_4_0,20.81,3,516.0699999999999,495.26,,jiashi_sn_1,jiashi_sn_10
1,5,jiashi_sn_3,33.66,4,549.73,516.0699999999999,,jiashi_sn_1,jiashi_sn_10
1,6,:jiashi_j6_0_0,0.32,5,550.05,549.73,,jiashi_sn_1,jiashi_sn_10
1,7,jiashi_sn_4,43.21,6,593.26,550.05,,jiashi_sn_1,jiashi_sn_10
1,8,:jiashi_j5_0_0,0.28,7,593.54,593.26,,jiashi_sn_1,jiashi_sn_10
1,9,jiashi_sn_5,51.32,8,644.86,593.54,,jiashi_sn_1,jiashi_sn_10
1,10,:jiashi_j4_0_0,0.3,9,645.16,644.86,,jiashi_sn_1,jiashi_sn_10
1,11,jiashi_sn_6,48.48,10,693.64,645.16,,jiashi_sn_1,jiashi_sn_10
1,12,:jiashi_j3_0_0,0.33,11,693.97,693.64,,jiashi_sn_1,jiashi_sn_10
1,13,jiashi_sn_7,44.78,12,738.75,693.97,,jiashi_sn_1,jiashi_sn_10
1,14,:jiashi_j2_0_0,0.35,13,739.1,738.75,,jiashi_sn_1,jiashi_sn_10
1,15,jiashi_sn_8,26.75,14,765.85,739.1,,jiashi_sn_1,jiashi_sn_10
1,16,:jiashibei-changjidong_5_0,26.87,15,792.72,765.85,,jiashi_sn_1,jiashi_sn_10
1,17,jiashi_sn_9,37.09,16,829.81,792.72,,jiashi_sn_1,jiashi_sn_10
1,18,:jiashi_j1_0_0,0.34,17,830.15,829.81,,jiashi_sn_1,jiashi_sn_10
1,19,jiashi_sn_10,781.64,18,1611.79,830.15,,jiashi_sn_1,jiashi_sn_10
2,1,jiashi_sn_1,463.2,0,463.2,0.0,,jiashi_sn_1,lvhuan_we_1
2,2,:jiashi_j7_0_0,0.34,1,463.53999999999996,463.2,,jiashi_sn_1,lvhuan_we_1
2,3,jiashi_sn_2,31.72,2,495.26,463.53999999999996,,jiashi_sn_1,lvhuan_we_1
2,4,:jiashibei-chungui_4_0,20.81,3,516.0699999999999,495.26,,jiashi_sn_1,lvhuan_we_1
2,5,jiashi_sn_3,33.66,4,549.73,516.0699999999999,,jiashi_sn_1,lvhuan_we_1
2,6,:jiashi_j6_0_0,0.32,5,550.05,549.73,,jiashi_sn_1,lvhuan_we_1
2,7,jiashi_sn_4,43.21,6,593.26,550.05,,jiashi_sn_1,lvhuan_we_1
2,8,:jiashi_j5_0_0,0.28,7,593.54,593.26,,jiashi_sn_1,lvhuan_we_1
2,9,jiashi_sn_5,51.32,8,644.86,593.54,,jiashi_sn_1,lvhuan_we_1
2,10,:jiashi_j4_0_0,0.3,9,645.16,644.86,,jiashi_sn_1,lvhuan_we_1
2,11,jiashi_sn_6,48.48,10,693.64,645.16,,jiashi_sn_1,lvhuan_we_1
2,12,:jiashi_j3_0_0,0.33,11,693.97,693.64,,jiashi_sn_1,lvhuan_we_1
2,13,jiashi_sn_7,44.78,12,738.75,693.97,,jiashi_sn_1,lvhuan_we_1
2,14,:jiashi_j2_0_0,0.35,13,739.1,738.75,,jiashi_sn_1,lvhuan_we_1
2,15,jiashi_sn_8,26.75,14,765.85,739.1,,jiashi_sn_1,lvhuan_we_1
2,16,:jiashibei-changjidong_4_0,13.87,15,779.72,765.85,,jiashi_sn_1,lvhuan_we_1
2,17,lvhuan_we_2,30.64,16,810.36,779.72,,jiashi_sn_1,lvhuan_we_1
2,18,:lvhuan_j1_2_0,0.31,17,810.67,810.36,,jiashi_sn_1,lvhuan_we_1
2,19,lvhuan_we_1,196.89,18,1007.56,810.67,,jiashi_sn_1,lvhuan_we_1
3,1,jiashi_sn_1,463.2,0,463.2,0.0,,jiashi_sn_1,chungui_we_2
3,2,:jiashi_j7_0_0,0.34,1,463.53999999999996,463.2,,jiashi_sn_1,chungui_we_2
3,3,jiashi_sn_2,31.72,2,495.26,463.53999999999996,,jiashi_sn_1,chungui_we_2
3,4,:jiashibei-chungui_3_0,9.03,3,504.28999999999996,495.26,,jiashi_sn_1,chungui_we_2
3,5,chungui_we_1,41.86,4,546.15,504.28999999999996,,jiashi_sn_1,chungui_we_2
3,6,:chungui_j1_2_0,0.19,5,546.34,546.15,,jiashi_sn_1,chungui_we_2
3,7,chungui_we_2,189.36,6,735.7,546.34,,jiashi_sn_1,chungui_we_2
4,1,changjidong_we_1,399.51,0,399.51,0.0,,changjidong_we_1,lvhuan_we_1
4,2,:changji_j1_0_1,0.29,1,399.8,399.51,,changjidong_we_1,lvhuan_we_1
4,3,changjidong_we_2,38.86,2,438.65999999999997,399.8,,changjidong_we_1,lvhuan_we_1
4,4,:jiashibei-changjidong_9_0,24.41,3,463.07,438.65999999999997,,changjidong_we_1,lvhuan_we_1
4,5,lvhuan_we_2,30.64,4,493.71,463.07,,changjidong_we_1,lvhuan_we_1
4,6,:lvhuan_j1_2_0,0.31,5,494.02,493.71,,changjidong_we_1,lvhuan_we_1
4,7,lvhuan_we_1,196.89,6,690.91,494.02,,changjidong_we_1,lvhuan_we_1
5,1,changjidong_we_1,399.51,0,399.51,0.0,,changjidong_we_1,jiashi_sn_10
5,2,:changji_j1_0_3,0.29,1,399.8,399.51,,changjidong_we_1,jiashi_sn_10
5,3,changjidong_we_2,38.86,2,438.65999999999997,399.8,,changjidong_we_1,jiashi_sn_10
5,4,:jiashibei-changjidong_10_1,21.93,3,460.59,438.65999999999997,,changjidong_we_1,jiashi_sn_10
5,5,jiashi_sn_9,37.09,4,497.68,460.59,,changjidong_we_1,jiashi_sn_10
5,6,:jiashi_j1_0_1,0.34,5,498.02,497.68,,changjidong_we_1,jiashi_sn_10
