lane_id,next_lane_id
:changji_j1_0_0,changjidong_we_2_0
:changji_j1_0_1,changjidong_we_2_1
:changji_j1_0_2,changjidong_we_2_2
:changji_j1_0_3,changjidong_we_2_3
:changji_j1_4_0,changjidong_ew_1_0
:changji_j1_4_1,changjidong_ew_1_1
:chungui_j1_0_0,chungui_ew_1_0
:chungui_j1_0_1,chungui_ew_1_1
:chungui_j1_2_0,chungui_we_2_0
:chungui_j1_2_1,chungui_we_2_1
:jiashi_j1_0_0,jiashi_sn_10_0
:jiashi_j1_0_1,jiashi_sn_10_1
:jiashi_j1_2_0,jiashi_ns_2_0
:jiashi_j1_2_1,jiashi_ns_2_1
:jiashi_j1_2_2,jiashi_ns_2_2
:jiashi_j2_0_0,jiashi_sn_8_0
:jiashi_j2_0_1,jiashi_sn_8_1
:jiashi_j2_2_0,jiashi_ns_4_0
:jiashi_j2_2_1,jiashi_ns_4_1
:jiashi_j3_0_0,jiashi_sn_7_0
:jiashi_j3_0_1,jiashi_sn_7_1
:jiashi_j3_2_0,jiashi_ns_5_0
:jiashi_j3_2_1,jiashi_ns_5_1
:jiashi_j4_0_0,jiashi_sn_6_0
:jiashi_j4_0_1,jiashi_sn_6_1
:jiashi_j4_2_0,jiashi_ns_6_0
:jiashi_j4_2_1,jiashi_ns_6_1
:jiashi_j5_0_0,jiashi_sn_5_0
:jiashi_j5_0_1,jiashi_sn_5_1
:jiashi_j5_2_0,jiashi_ns_7_0
:jiashi_j5_2_1,jiashi_ns_7_1
:jiashi_j6_0_0,jiashi_sn_4_0
:jiashi_j6_0_1,jiashi_sn_4_1
:jiashi_j6_2_0,jiashi_ns_8_0
:jiashi_j6_2_1,jiashi_ns_8_1
:jiashi_j7_0_0,jiashi_sn_2_0
:jiashi_j7_0_1,jiashi_sn_2_1
:jiashi_j7_2_0,jiashi_ns_10_0
:jiashi_j7_2_1,jiashi_ns_10_1
:jiashibei-changjidong_0_0,jiashi_sn_9_0
:jiashibei-changjidong_10_0,jiashi_sn_9_0
:jiashibei-changjidong_10_1,jiashi_sn_9_1
:jiashibei-changjidong_12_0,changjidong_ew_2_0
:jiashibei-changjidong_13_0,jiashi_ns_3_0
:jiashibei-changjidong_13_1,jiashi_ns_3_1
:jiashibei-changjidong_15_0,lvhuan_we_2_1
:jiashibei-changjidong_1_0,changjidong_ew_2_0
:jiashibei-changjidong_1_1,changjidong_ew_2_1
:jiashibei-changjidong_3_0,jiashi_ns_3_1
:jiashibei-changjidong_4_0,lvhuan_we_2_0
:jiashibei-changjidong_5_0,jiashi_sn_9_0
:jiashibei-changjidong_5_1,jiashi_sn_9_1
:jiashibei-changjidong_7_0,changjidong_ew_2_1
:jiashibei-changjidong_8_0,jiashi_ns_3_0
:jiashibei-changjidong_9_0,lvhuan_we_2_0
:jiashibei-chungui_0_0,jiashi_sn_3_0
:jiashibei-chungui_10_0,jiashi_sn_3_1
:jiashibei-chungui_11_0,xiaoqu_ew_2_0
:jiashibei-chungui_12_0,jiashi_ns_9_0
:jiashibei-chungui_12_1,jiashi_ns_9_1
:jiashibei-chungui_14_0,chungui_we_1_1
:jiashibei-chungui_15_0,xiaoqu_ew_2_0
:jiashibei-chungui_1_0,xiaoqu_ew_2_0
:jiashibei-chungui_2_0,jiashi_ns_9_1
:jiashibei-chungui_3_0,chungui_we_1_0
:jiashibei-chungui_4_0,jiashi_sn_3_0
:jiashibei-chungui_4_1,jiashi_sn_3_1
:jiashibei-chungui_6_0,:jiashibei-chungui_15_0
:jiashibei-chungui_6_0,xiaoqu_ew_2_0
:jiashibei-chungui_7_0,jiashi_ns_9_0
:jiashibei-chungui_8_0,chungui_we_1_0
:jiashibei-chungui_8_1,chungui_we_1_1
:lvhuan_j1_0_0,lvhuan_ew_2_0
:lvhuan_j1_0_1,lvhuan_ew_2_1
:lvhuan_j1_2_0,lvhuan_we_1_0
:lvhuan_j1_2_1,lvhuan_we_1_1
:xiaoqu_j1_0_0,xiaoqu_we_2_0
:xiaoqu_j1_1_0,xiaoqu_ew_1_0
changjidong_ew_2_0,:changji_j1_4_0
changjidong_ew_2_1,:changji_j1_4_1
changjidong_we_1_0,:changji_j1_0_0
changjidong_we_1_1,:changji_j1_0_1
changjidong_we_1_2,:changji_j1_0_2
changjidong_we_1_3,:changji_j1_0_3
changjidong_we_2_0,:jiashibei-changjidong_8_0
changjidong_we_2_1,:jiashibei-changjidong_9_0
changjidong_we_2_2,:jiashibei-changjidong_10_0
changjidong_we_2_3,:jiashibei-changjidong_10_1
chungui_ew_1_0,:jiashibei-chungui_0_0
chungui_ew_1_0,:jiashibei-chungui_1_0
chungui_ew_1_1,:jiashibei-chungui_2_0
chungui_ew_2_0,:chungui_j1_0_0
chungui_ew_2_1,:chungui_j1_0_1
chungui_we_1_0,:chungui_j1_2_0
chungui_we_1_1,:chungui_j1_2_1
jiashi_ns_1_0,:jiashi_j1_2_0
jiashi_ns_1_1,:jiashi_j1_2_1
jiashi_ns_1_2,:jiashi_j1_2_2
jiashi_ns_2_0,:jiashibei-changjidong_12_0
jiashi_ns_2_1,:jiashibei-changjidong_13_0
jiashi_ns_2_2,:jiashibei-changjidong_13_1
jiashi_ns_2_2,:jiashibei-changjidong_15_0
jiashi_ns_3_0,:jiashi_j2_2_0
jiashi_ns_3_1,:jiashi_j2_2_1
jiashi_ns_4_0,:jiashi_j3_2_0
jiashi_ns_4_1,:jiashi_j3_2_1
jiashi_ns_5_0,:jiashi_j4_2_0
jiashi_ns_5_1,:jiashi_j4_2_1
jiashi_ns_6_0,:jiashi_j5_2_0
jiashi_ns_6_1,:jiashi_j5_2_1
jiashi_ns_7_0,:jiashi_j6_2_0
jiashi_ns_7_1,:jiashi_j6_2_1
jiashi_ns_8_0,:jiashibei-chungui_11_0
jiashi_ns_8_0,:jiashibei-chungui_12_0
jiashi_ns_8_1,:jiashibei-chungui_12_1
jiashi_ns_8_1,:jiashibei-chungui_14_0
jiashi_ns_9_0,:jiashi_j7_2_0
jiashi_ns_9_1,:jiashi_j7_2_1
jiashi_sn_1_0,:jiashi_j7_0_0
jiashi_sn_1_1,:jiashi_j7_0_1
jiashi_sn_2_0,:jiashibei-chungui_3_0
jiashi_sn_2_0,:jiashibei-chungui_4_0
jiashi_sn_2_1,:jiashibei-chungui_4_1
jiashi_sn_2_1,:jiashibei-chungui_6_0
jiashi_sn_3_0,:jiashi_j6_0_0
jiashi_sn_3_1,:jiashi_j6_0_1
jiashi_sn_4_0,:jiashi_j5_0_0
jiashi_sn_4_1,:jiashi_j5_0_1
jiashi_sn_5_0,:jiashi_j4_0_0
jiashi_sn_5_1,:jiashi_j4_0_1
jiashi_sn_6_0,:jiashi_j3_0_0
jiashi_sn_6_1,:jiashi_j3_0_1
jiashi_sn_7_0,:jiashi_j2_0_0
jiashi_sn_7_1,:jiashi_j2_0_1
jiashi_sn_8_0,:jiashibei-changjidong_4_0
jiashi_sn_8_0,:jiashibei-changjidong_5_0
jiashi_sn_8_1,:jiashibei-changjidong_5_1
jiashi_sn_8_1,:jiashibei-changjidong_7_0
jiashi_sn_9_0,:jiashi_j1_0_0
jiashi_sn_9_1,:jiashi_j1_0_1
lvhuan_ew_1_0,:lvhuan_j1_0_0
lvhuan_ew_1_1,:lvhuan_j1_0_1
lvhuan_ew_2_0,:jiashibei-changjidong_0_0
